leg1.joint1.angle,leg1.joint2.angle,leg1.joint3.angle,leg2.joint1.angle,leg2.joint2.angle,leg2.joint3.angle,subject,condition,replication,time,x,y
4.68288097664056,3.69368329314584,16.6078682743045,5.01582899391822,2.24442503800445,18.9482904660435,1,1,1,0,6.996473,12.231479
5.07312740393865,4.25887559428585,16.8510290622602,5.29120063765579,3.38167823667373,19.2652995524256,1,1,1,1,6.8774557,12.649012
5.22977436358883,5.34694467609688,17.1700976735105,5.41052831001155,4.92556568798504,19.6004690933081,1,1,1,2,6.9113097,13.278828
5.0832726607672,6.76983140130125,17.5046929359098,5.27062821792932,6.62397798874061,19.8717548143261,1,1,1,3,6.8167315,13.968069
4.65239850197076,8.35171616953212,17.8066015793224,4.81414266222979,8.26860167106419,20.0165638013327,1,1,1,4,6.6498966,14.737737
4.03747639753555,9.95699462043494,18.0462954630206,4.06044325688196,9.73405785664809,20.0046669005771,1,1,1,5,6.195826,16.365372
3.38898738622956,11.5011208933461,18.2098713119574,3.1148267404397,10.988666745161,19.8412144616448,1,1,1,6,5.929376,16.927965
2.86374293685016,12.9446332593599,18.2903342295494,2.14509345592341,12.0733683122008,19.5577291253585,1,1,1,7,5.418565,17.280783
2.58593904331831,14.2760633886819,18.279389915662,1.33267809658098,13.0603288240797,19.1945372386535,1,1,1,8,4.773406,17.587778
2.62162550907623,15.4917084390771,18.1632411807455,0.819096115327821,14.0094088588317,18.7817049312676,1,1,1,9,4.300474,17.838373
2.97025373392923,16.5798337448732,17.9229925378662,0.67200110887333,14.9407135671483,18.3271577933119,1,1,1,10,3.7642431,18.048853
3.57162594360292,17.514805515466,17.5387834798048,0.879722932815039,15.8301243598305,17.816368030894,1,1,1,11,3.237717,18.152624
4.3276598184528,18.2622117159221,16.9966895034241,1.37085974704152,16.6250917933876,17.2229971061479,1,1,1,12,2.7582865,18.268627
5.13144705043895,18.7906275300728,16.2962340704616,2.04511095452974,17.2691570039338,16.5242662559612,1,1,1,13,2.294672,18.221983
5.89442960585584,19.0837030541392,15.4550840225519,2.80418329403927,17.7236290825779,15.7133854304694,1,1,1,14,1.8190831,18.203985
6.56235644159843,19.1468150100448,14.5079395534527,3.57378585657398,17.9787742233942,14.8038008031857,1,1,1,15,1.3564618,18.148977
7.11803930184848,19.0068553808846,13.4998641997549,4.31241924059068,18.051968082577,13.8239731398339,1,1,1,16,0.8957857,18.025469
7.57354842041187,18.7065109299844,12.4767737582054,5.00747576968203,17.9765212772684,12.8066331771029,1,1,1,17,0.52548856,17.897911
7.95786451066945,18.2962961912632,11.4765765498965,5.66238847428488,17.787763952754,11.7783368425305,1,1,1,18,0.14960325,17.657572
8.30399513319387,17.8263845347815,10.5237090301134,6.28243791924054,17.5138402754445,10.7546594851165,1,1,1,19,-0.18122526,17.430294
8.6389386298978,17.339264142765,9.62767845010512,6.86551629734274,17.1738211956527,9.74195412162073,1,1,1,20,-0.50226724,17.164637
8.9780716456039,16.8632359624209,8.7848075452632,7.40038409586028,16.7808240647267,8.74244639819051,1,1,1,21,-0.83529896,16.887676
9.32410484626789,16.4078536423167,7.9816162360083,7.87031282350754,16.3453217902965,7.75793057840165,1,1,1,22,-1.0953013,16.64677
